epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,631.258,1.88593,2.35517,1.60436,0.53048,0.36774,0.39746,0.15869,1.94117,2.24196,1.51925,0.00039596,0.00039596,0.00039596
2,1252,1.76417,1.87877,1.53809,0.61077,0.41864,0.45997,0.17174,2.04594,2.15141,1.73126,0.000790706,0.000790706,0.000790706
3,1875.54,1.82281,1.82834,1.56823,0.55498,0.50394,0.51663,0.18932,2.13959,2.22043,1.79569,0.00118017,0.00118017,0.00118017
4,2489.31,1.77107,1.77761,1.56191,0.58283,0.41649,0.45192,0.18662,2.03811,1.95509,1.75782,0.00156436,0.00156436,0.00156436
5,3104.81,1.79499,1.72763,1.57557,0.48921,0.46308,0.44641,0.13718,2.24674,2.06284,1.83769,0.00194327,0.00194327,0.00194327
6,3705.52,1.79072,1.70927,1.57029,0.64109,0.50108,0.54021,0.24516,1.87237,1.71239,1.60483,0.001934,0.001934,0.001934
7,4308.74,1.76378,1.66027,1.54399,0.66166,0.52473,0.58855,0.25381,1.97313,1.72532,1.65541,0.0019208,0.0019208,0.0019208
8,4926.37,1.75534,1.63109,1.53494,0.65981,0.53333,0.61012,0.25853,1.94738,1.80167,1.63996,0.0019076,0.0019076,0.0019076
9,5531.4,1.7312,1.60355,1.51547,0.69485,0.52616,0.59381,0.23631,2.05641,1.63639,1.65227,0.0018944,0.0018944,0.0018944
10,6145.41,1.71809,1.55153,1.49841,0.67431,0.56703,0.62395,0.26597,1.9294,1.54241,1.58832,0.0018812,0.0018812,0.0018812
11,6754.67,1.70717,1.56706,1.51941,0.66324,0.56755,0.6204,0.30596,1.71402,1.5554,1.49522,0.001868,0.001868,0.001868
12,7368.57,1.68588,1.5321,1.48799,0.66802,0.58781,0.65074,0.31887,1.77566,1.41322,1.5296,0.0018548,0.0018548,0.0018548
13,7976.14,1.66711,1.48743,1.47806,0.70332,0.57778,0.65223,0.31552,1.83065,1.46824,1.56968,0.0018416,0.0018416,0.0018416
14,8586.73,1.65642,1.50581,1.47458,0.68691,0.56057,0.62751,0.27613,1.87101,1.51685,1.56063,0.0018284,0.0018284,0.0018284
15,9193.32,1.65601,1.51162,1.48188,0.66633,0.52975,0.59176,0.26221,1.99074,1.57453,1.6359,0.0018152,0.0018152,0.0018152
16,9807.72,1.64042,1.46382,1.45226,0.68701,0.60107,0.64889,0.34543,1.61614,1.42863,1.43467,0.001802,0.001802,0.001802
17,10419.9,1.64236,1.48124,1.46774,0.68742,0.59283,0.66177,0.32619,1.7676,1.41114,1.47018,0.0017888,0.0017888,0.0017888
18,11022,1.62643,1.47226,1.469,0.68748,0.6,0.66797,0.36832,1.58767,1.30429,1.42185,0.0017756,0.0017756,0.0017756
19,11636.4,1.62072,1.41431,1.44019,0.71709,0.58136,0.66598,0.34707,1.65589,1.3417,1.44159,0.0017624,0.0017624,0.0017624
20,12238.4,1.58576,1.41426,1.44105,0.68773,0.61147,0.66847,0.34111,1.67542,1.4274,1.43888,0.0017492,0.0017492,0.0017492
21,12852.6,1.61924,1.44672,1.45154,0.69659,0.60729,0.66059,0.35938,1.61815,1.31272,1.43343,0.001736,0.001736,0.001736
22,13464.7,1.58337,1.41276,1.43731,0.71405,0.61505,0.67493,0.35454,1.64244,1.34371,1.43357,0.0017228,0.0017228,0.0017228
23,14071.5,1.60367,1.40895,1.43445,0.69366,0.60358,0.67791,0.37807,1.56396,1.24416,1.38591,0.0017096,0.0017096,0.0017096
24,14672.8,1.56893,1.38262,1.41419,0.70574,0.62079,0.69604,0.38064,1.56072,1.25948,1.40425,0.0016964,0.0016964,0.0016964
